[0.007s] Invoking command in '/home/host/onda/ros_ws/build/braco_description': /usr/bin/cmake --build /home/host/onda/ros_ws/build/braco_description -- -j20 -l20
[0.032s] Invoked command in '/home/host/onda/ros_ws/build/braco_description' returned '0': /usr/bin/cmake --build /home/host/onda/ros_ws/build/braco_description -- -j20 -l20
[0.047s] Invoking command in '/home/host/onda/ros_ws/build/braco_description': /usr/bin/cmake --install /home/host/onda/ros_ws/build/braco_description
[0.053s] -- Install configuration: ""
[0.053s] -- Execute custom install script
[0.054s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//urdf/Braço.gazebo
[0.054s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//urdf/Braço.trans
[0.054s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//urdf/Braço.xacro
[0.055s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//urdf/braco.urdf
[0.055s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//urdf/braco_fixed.urdf
[0.055s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//urdf/materials.xacro
[0.056s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//meshes/base_link.stl
[0.056s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//meshes/prism1_1.stl
[0.057s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//meshes/rot1_1.stl
[0.057s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//meshes/rot2_1.stl
[0.058s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//meshes/rot3_1.stl
[0.058s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//meshes/rot4_1.stl
[0.059s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//launch/controller.launch
[0.059s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//launch/controller.yaml
[0.059s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//launch/display.launch
[0.060s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//launch/display.launch.py
[0.060s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//launch/gazebo.launch
[0.060s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//launch/gazebo.launch.py
[0.061s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description//launch/urdf.rviz
[0.061s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/launch//controller.yaml
[0.062s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/launch//urdf.rviz
[0.062s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/ament_index/resource_index/package_run_dependencies/braco_description
[0.062s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/ament_index/resource_index/parent_prefix_path/braco_description
[0.062s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/environment/ament_prefix_path.sh
[0.063s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/environment/ament_prefix_path.dsv
[0.063s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/environment/path.sh
[0.063s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/environment/path.dsv
[0.063s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/local_setup.bash
[0.064s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/local_setup.sh
[0.064s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/local_setup.zsh
[0.065s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/local_setup.dsv
[0.065s] -- Symlinking: /home/host/onda/ros_ws/install/braco_description/share/braco_description/package.dsv
[0.075s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/ament_index/resource_index/packages/braco_description
[0.075s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/cmake/braco_descriptionConfig.cmake
[0.076s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/cmake/braco_descriptionConfig-version.cmake
[0.076s] -- Up-to-date symlink: /home/host/onda/ros_ws/install/braco_description/share/braco_description/package.xml
[0.080s] Invoked command in '/home/host/onda/ros_ws/build/braco_description' returned '0': /usr/bin/cmake --install /home/host/onda/ros_ws/build/braco_description
